학교명,메뉴반복도
가경초등학교,0.06087530354266034
가곡초등학교,0.10761136090240653
가곡초등학교대곡분교장,0.10717926972761227
가곡초등학교보발분교장,0.10717926972761227
가덕초등학교,0.08234096546044417
가평초등학교,0.05360614352709214
가흥초등학교,0.06430251584984595
각리초등학교,0.039864867017855875
갈원초등학교,0.11069719785541154
감곡초등학교,0.07504327914149343
감물초등학교,0.09435006401438627
강내초등학교,0.1153806333644181
강서초등학교,0.14334583270067142
개신초등학교,0.11718726740180757
경덕초등학교,0.07899747788832856
경산초등학교,0.03636649493295965
관기초등학교,0.125773266252843
괴산명덕초등학교,0.13100612976552825
교동초등학교,0.1040544705361583
구룡초등학교,0.1301065794272316
구정초등학교,0.10683048493965414
국원초등학교,0.04719912164318337
군남초등학교,0.13630868254359516
군서초등학교,0.11744141940489175
금가초등학교,0.14474118432181904
금구초등학교,0.05788823784690165
금성초등학교,0.08022219284941383
금천초등학교,0.10834075312684939
남당초등학교,0.1297622493876334
남성초등학교,0.10699504413377246
남신초등학교,0.08362128020140785
남이초등학교,0.05627190023860716
남일초등학교,0.1055235011543931
남천초등학교,0.11690406142019046
남평초등학교,0.1685052867550779
낭성초등학교,0.13900463084015938
내북초등학교,0.11992950661433818
내수초등학교,0.0842607162335094
내토초등학교,0.16231322481934926
노은초등학교,0.10591718128471858
능산초등학교,0.12258277784593574
단양초등학교,0.12473283720045912
단월초등학교,0.10667649849297363
단재초등학교,0.06886554190498154
단천초등학교,0.15702834664136475
달천초등학교,0.051765354970989115
달천초등학교매현분교장,0.038561438561438566
대가초등학교,0.1274987670390379
대강초등학교,0.11001097682786487
대길초등학교,0.08814422286343468
대미초등학교,0.08046393918339487
대소초등학교,0.10470412204570526
덕벌초등학교,0.07926217312306934
덕성초등학교,0.09821999429234167
덕신초등학교,0.13589042006155863
도안초등학교,0.14563022921737526
동광초등학교,0.09926564722019268
동량초등학교,0.12457256436044314
